event_timestamp,created,driver_id,conv_rate,acc_rate,avg_daily_trips
2025-05-28T20:52:17.000+05:30,2025-05-28T12:00:00.000+05:30,1000,549.682,460.082,412
2025-05-28T12:44:22.000+05:30,2025-05-28T12:00:00.000+05:30,1000,764.738,740.857,505
2025-05-28T18:20:52.000+05:30,2025-05-28T12:00:00.000+05:30,1000,387.34,665.103,871
2025-05-28T02:22:02.000+05:30,2025-05-28T12:00:00.000+05:30,1000,452.248,616.6,245
2025-05-28T08:40:53.000+05:30,2025-05-28T12:00:00.000+05:30,1000,749.64,763.211,192
2025-05-28T21:07:17.000+05:30,2025-05-28T12:00:00.000+05:30,1000,381.441,557.617,137
2025-05-29T02:09:22.000+05:30,2025-05-29T12:00:00.000+05:30,1000,632.419,500.142,283
2025-05-29T11:11:40.000+05:30,2025-05-29T12:00:00.000+05:30,1000,592.793,729.729,734
2025-05-29T05:59:54.000+05:30,2025-05-29T12:00:00.000+05:30,1000,451.511,506.358,675
2025-05-29T22:11:55.000+05:30,2025-05-29T12:00:00.000+05:30,1000,486.095,587.124,600
2025-05-29T07:40:32.000+05:30,2025-05-29T12:00:00.000+05:30,1000,788.001,378.038,916
2025-05-30T03:09:37.000+05:30,2025-05-30T12:00:00.000+05:30,1000,302.064,739.785,424
2025-05-30T02:37:43.000+05:30,2025-05-30T12:00:00.000+05:30,1000,351.662,685.341,986
2025-05-31T16:33:15.000+05:30,2025-05-31T12:00:00.000+05:30,1000,674.333,585.891,228
2025-05-31T17:15:34.000+05:30,2025-05-31T12:00:00.000+05:30,1000,810.433,500.228,998
2025-05-31T13:11:56.000+05:30,2025-05-31T12:00:00.000+05:30,1000,687.132,305.305,197
2025-05-31T02:37:01.000+05:30,2025-05-31T12:00:00.000+05:30,1000,773.044,545.316,907
2025-05-31T19:38:51.000+05:30,2025-05-31T12:00:00.000+05:30,1000,419.545,640.006,619
2025-06-01T00:29:20.000+05:30,2025-06-01T12:00:00.000+05:30,1000,882.776,642.212,458
2025-06-01T08:39:13.000+05:30,2025-06-01T12:00:00.000+05:30,1000,519.122,467.439,979
